EstablishmentName,EstablishmentPostcode,gias_urn
RIVER MILL PRIMARY SCHOOL,DA1 5XR,147083
BRONTE SCHOOL - BRONTE SCHOOL & NURSERY LTD,DA11 0HN,118967
MERTON COURT SCHOOL,DA14 4QU,101482
WEST LODGE PREPARATORY SCHOOL,DA15 7DU,101481
STEEPHILL SCHOOL,DA3 7BG,118965
EMMANUEL SCHOOL - NURSERY UNIT,DE22 1FP,113024
DERBY HIGH SCHOOL - NURSERY UNIT,DE23 3DT,113017
ST ANSELMS (EY),DE45 1DP,113002
WATCHORN CHRISTIAN SCHOOL (EY),DE55 7AQ,144806
REPTON PREPARATORY SCHOOL,DE65 6EJ,113022
ST WYSTAN'S SCHOOL NURSERY,DE65 6GE,113008
DAME CATHERINE HARPUR'S SCHOOL (EY),DE73 7JW,113023
THE INDEPENDENT GRAMMAR SCHOOL DURHAM,DH1 1RH,144804
DURHAM CATHEDRAL SCHOOLS FOUNDATION - FULL DAY CARE + NURS ED,DH1 3LS,114331
RAINBOW HILL NURSERY - DURHAM HIGH SCHOOL - FULL DAY CARE,DH1 3TB,114330
HANDEL HOUSE SCHOOL LIMITED,DN21 2JB,120733
WORKSOP COLLEGE PREPARATORY SCHOOL (AKA RANBY HSE),DN22 8HX,122908
ST MARTINS PRE PREPARATORY,DN34 4SY,118125
SUNNINGHILL PREP SCHOOL FOUNDATION STAGE UNIT,DT1 1EB,113927
SHERBORNE PRE-PREPARATORY PRE-SCHOOL,DT9 3NY,113917
FORGET ME NOT DAY NURSERY,DT9 4EG,138471
HEATHFIELD PRE-SCHOOL AND DAY NURSERY,DY10 3QE,117020
WOODHOUSE NURSERY AT WINTERFOLD HOUSE (PRE-SCHOOL),DY10 4PW,117012
THE KING ALFRED SCHOOL NURSERY,DY3 2AU,148564
ELMFIELD KINDERGARTEN & NURSERY,DY8 2EA,103876
NOOR UL ISLAM PRIMARY,E10 6QW,133517
AZHAR ACADEMY PRIMARY SCHOOL,E11 3HN,134417
SNARESBROOK PREPARATORY SCHOOL,E18 2EA,102871
CHOBHAM ACADEMY,E20 1BD,139703
NORMANHURST SCHOOL,E4 7BA,103112
BEIS TRANA GIRLS SCHOOL,E5 9DH,131342
TALMUD TORAH MACHZIKEI HADASS,E5 9SN,100294
MADANIYAH FOUNDATION,E7 8NN,134591
GRANGEWOOD INDEPENDENT SCHOOL,E7 8QT,102789
QUWWAT-UL-ISLAM GIRLS SCHOOL,E7 9NA,134627
LYCEUM SCHOOL,EC2A 2DU,131343
LYONSDOWN SCHOOL,EN5 1SA,101370
ST. JOHNS PREPARATORY  SCHOOL,EN6 5QT,102065
EXETER CATHEDRAL SCHOOL,EX1 1HX,113561
ST JOHN'S INTERNATIONAL SCHOOL,EX10 8RG,113583
BLUNDELL'S PREPARATORY SCHOOL,EX16 4NA,113577
SHEBBEAR COLLEGE KINDERGARTEN,EX21 5HJ,113605
WEST BUCKLAND PREPARATORY SCHOOL,EX32 0SX,113606
KINGSLEY SCHOOL,EX39 3LY,113604
THE NEW SCHOOL,EX6 8AT,113624
ST PETER'S SCHOOL,EX8 5AU,113587
ROSSALL NURSERY,FY7 8JW,119818
ST ANNES COLLEGE KINDERGARTEN & JUNIOR SCHOOL,FY8 1HN,119819
LANESBOROUGH SCHOOL,GU1 2EL,125343
BARFIELD SCHOOL NURSERY,GU10 1PB,125392
EDGEBOROUGH NURSERY,GU10 3AH,125337
FRENSHAM HEIGHTS NURSERY,GU10 4EA,125338
LITTLE LYNDHURST,GU15 3NE,125370
HALL GROVE SCHOOL,GU19 5HZ,125407
RYDES HILL PREPARATORY AND NURSERY SCHOOL,GU2 8BP,125344
HALSTEAD SCHOOL,GU21 4EE,125400
ST ANDREW'S (WOKING) SCHOOL TRUST,GU21 4QW,125367
GREENFIELD SCHOOL,GU22 8HY,125399
HOE BRIDGE SCHOOL PRE-PREP,GU22 8JE,125397
RIPLEY COURT EDUCATIONAL TRUST LTD,GU23 6NE,125391
COWORTH-FLEXLANDS SCHOOL,GU24 8TE,125429
ST EDMUNDS SCHOOL,GU26 6BH,125347
AMESBURY SCHOOL,GU26 6BL,125346
THE ROYAL SCHOOL PREP SCHOOL DAYCARE,GU26 6BW,125348
THE IVIES,GU27 2ES,125382
CONIFERS SCHOOL EARLY YEARS DEPARTMENT,GU29 9BG,126118
BROOKHAM SCHOOL (PRE-PREP),GU30 7LQ,126151
CHURCHERS COLLEGE NURSERY (NURSERY UNIT OF IND. SCHOOL) - 116579,GU31 4AS,116579
DITCHAM PARK SCHOOL 116575,GU31 5RN,116575
DUNANNIE SCHOOL  (BEDALES),GU32 2DP,116527
ALTON SCHOOL NURSERY EY403561,GU34 2NG,116537
YATELEY MANOR PREPARATORY SCHOOL,GU46 7UQ,116553
EAGLE HOUSE SCHOOL,GU47 8PH,110133
ST CATHERINE'S PREPARATORY SCHOOL,GU5 0DF,125320
LONGACRE SCHOOL,GU5 0NQ,125393
ST NICHOLAS SCHOOL 116518,GU52 0RF,116518
DUKE OF KENT SCHOOL,GU6 7NS,125336
ST HILARY'S NURSERY,GU7 1RZ,125341
BARROW HILLS PRE PREPARATORY,GU8 5NY,125366
QUAINTON HALL SCHOOL & NURSERY,HA1 1RY,102249
ALPHA PREPARATORY SCHOOL NURSERY,HA1 1SH,102250
ORLEY FARM SCHOOL PRE PREP,HA1 3NU,102248
ROXETH MEAD SCHOOL AND NURSERY,HA2 0HW,102254
BUCKINGHAM PREPARATORY SCHOOL (N),HA5 5DT,136153
BUCKINGHAM COLLEGE NURSERY,HA5 5DT,101568
REDDIFORD SCHOOL NURSERY,HA5 5HH,102253
EDGWARE JEWISH GIRLS - BEIS CHINUCH,HA8 7PH,136014
TASHBAR OF EDGWARE SCHOOL,HA8 8JL,130826
BROADFIELDS PRIMARY SCHOOL,HA8 8JP,140236
HUDDERSFIELD GRAMMAR SCHOOL,HD1 4QX,107786
THE MOUNT SCHOOL,HD2 2AP,107787
MILL COTTAGE MONTESSORI SCHOOL,HD6 4HA,131158
BRACKENFIELD SCHOOL,HG1 2HE,121757
HIGHFIELD PREP (HARROGATE LADIES COLLEGE),HG1 2QG,121741
ASHVILLE COLLEGE PRE-PREP SCHOOL,HG2 9JP,121758
BELMONT GROSVENOR SCHOOL,HG3 2JG,121746
GATEWAY SCHOOL AND CLUB,HP16 9AA,110556
GRIFFIN HOUSE PREPARATORY SCHOOL,HP17 0XP,110558
HEREFORD CATHEDRAL JUNIOR SCHOOL NURSERY,HR1 2NG,117036
LUCTON SCHOOL NURSERY,HR6 9PN,117045
HULL COLLEGIATE SCHOOL,HU10 7EH,118126
THE GLEDDINGS PREPARATORY SCHOOL,HX3 0JB,107582
HIPPERHOLME GRAMMAR JUNIOR SCHOOL & NURSERY,HX3 8JE,107585
HEATHFIELD NURSERY & INFANT DEPT,HX6 4QA,102891
READ ACADEMY,IG1 3BD,139826
APEX PRIMARY SCHOOL,IG1 3BG,126620
THE URSULINE PREPARATORY SCHOOL ILFORD,IG1 4QR,102874
OAKLANDS SCHOOL  LOUGHTON,IG10 4RA,102873
BEEHIVE PREPARATORY SCHOOL,IG4 5ED,102867
GURU GOBIND SINGH KHALSA COLLEGE,IG7 6BJ,115437
THE DAIGLEN SCHOOL,IG9 5LG,115400
LOYOLA PREPARATORY SCHOOL,IG9 5NH,115393
BRAESIDE SCHOOL,IG9 5SD,115386
IPSWICH PREPARATORY SCHOOL PRE-SCHOOL,IP1 3QW,124881
THE MEADOWS MONTESSORI,IP1 6AR,135689
ORWELL PARK SCHOOL EDUCATIONAL TRUST LTD,IP10 0ER,124866
BRANDESTON HALL SCHOOL,IP13 7AH,124884
FINBOROUGH SCHOOL MONTESSORI NURSERY,IP14 3EF,124892
SAINT FELIX SCHOOL,IP18 6SD,124868
LITTLE ST JOSEPHS,IP2 9DR,124883
BROOKSIDE PRE-SCHOOL,IP2 9LQ,139803
RIDDLESWORTH HALL NURSERY,IP22 2TA,121221
THETFORD GRAMMAR SCHOOL - INDEPENDENT SCHOOL,IP24 3AF,121245
CHERRY TREES MONTESSORI AT BROOKES,IP28 6QJ,124893
SOUTH LEE PREPARATORY SCHOOL NURSERY,IP33 2BT,124876
OLD BUCKENHAM HALL NURSERY SCHOOL,IP7 7PH,124873
IPSWICH HIGH SCHOOL,IP9 1AZ,124888
ROWAN PREPARATORY SCHOOL THE BRAE,KT10 0PJ,125333
SHREWSBURY HOUSE PRE-PREPARATORY SCHOOL,KT10 9EA,125374
CLAREMONT FAN COURT PRE-PREPARATORY AND NURSERY,KT10 9LY,125334
CALVI HOUSE PRE-PREP (FELTONFLEET SCHOOL),KT11 1DR,125359
NOTRE DAME NURSERY,KT11 1HA,125447
DANESFIELD MANOR SCHOOL NURSERY,KT12 3JB,125360
ST GEORGE'S JUNIOR SCHOOL,KT13 8NL,125443
LITTLE DOWNSEND EPSOM,KT17 3AB,125378
ST CHRISTOPHER'S SCHOOL,KT18 5HE,125331
EDUCARE SMALL SCHOOL,KT2 6DZ,131351
PARK HILL SCHOOL,KT2 7SH,102616
CHINTHURST SCHOOL NURSERY,KT20 5QZ,125394
THE CHILDREN'S TRUST SCHOOL,KT20 5RU,134902
ABERDOUR SCHOOL NURSERY,KT20 6AJ,125317
LITTLE DOWNSEND ASHTEAD,KT21 2RE,125432
LITTLE DOWNSEND LEATHERHEAD,KT22 8ST,125405
NURSERY AT MANOR HOUSE SCHOOL,KT23 4EN,125352
BRIGHT STARS AT CRANMORE PREPARATORY SCHOOL,KT24 6AT,125416
GLENESK SCHOOL,KT24 6NS,125377
WESTBURY HOUSE SCHOOL,KT3 5AS,102618
THE STUDY SCHOOL,KT3 5DP,102617
BLOSSOM HOUSE SCHOOL,KT3 6JJ,102694
SURBITON HIGH SCHOOL FOR GIRLS,KT6 4SP,102611
WESTON GREEN PREPARATORY SCHOOL,KT7 0JN,125437
HAMPTON COURT HOUSE SCHOOL,KT8 9BS,133443
TEDDY'S NURSERY @ ROYAL SCHOOL FOR THE BLIND,L15 6TQ,104735
AUCKLAND COLLEGE DAYCARE,L17 4LE,132119
CARLETON HOUSE PREPARATORY SCHOOL,L18 3EE,104723
BEAUTIFUL BEGINNINGS DAY NURSERY,L40 9RQ,119824
THE BELVEDERE PREPARATORY SCHOOL,L8 3TF,104729
WINDERMERE SCHOOL ELLERAY CAMPUS,LA23 1NW,112446
BROOKE PRIORY NURSERY,LE15 6QW,120340
AL-ISLAMIA PRIMARY- PRE SCHOOL,LE2 0SA,135390
ST CRISPINS SCHOOL,LE2 1XA,120326
LEICESTER PREPARATORY SCHOOL,LE2 2AA,120329
LEICESTER ISLAMIC ACADEMY,LE2 2PJ,120335
LEICESTER HIGH SCHOOL FOR GIRLS,LE2 2PP,120324
AL-AQSA PRIMARY SCHOOL,LE5 4PP,134809
LAND OF LEARNING PRIMARY SCHOOL,LE5 5PF,135858
BURTON HATHOW PREPARATORY SCHOOL LIMITED,LN1 2BB,139235
ST HUGHS NURSERY WOODHALL SPA,LN10 6TQ,120732
GREENWICH HOUSE SCHOOL  KINDERGARTEN & CRECHE,LN11 0HE,120743
UNITED CHURCH SCHOOLS TRUST T/A LINCOLN MINSTER SCHOOL,LN2 1PH,120724
LEEDS MENORAH SCHOOL NURSERY,LS17 6HQ,108110
GATEWAYS SCHOOL,LS17 9LE,108104
THE FROEBELIAN SCHOOL (NURSERY),LS18 4LB,108108
LAMBS HILL NURSERY @ FULNECK SCHOOL,LS28 8DS,108117
WESTVILLE HOUSE SCHOOL,LS29 0DQ,107453
GHYLL ROYD SCHOOL AND PRE-SCHOOL,LS29 7HW,107449
MOORFIELD SCHOOL LIMITED,LS29 8RL,107450
MANCHESTER HIGH SCHOOL FOR GIRLS,M14 6HS,105592
ST BEDE'S COLLEGE PREPARATORY SCHOOL,M16 8HX,105594
AFIFAH SCHOOL,M16 9GN,134469
MOOR ALLERTON PREPARATORY SCHOOL,M20 2AJ,105585
MANCHESTER MUSLIM PREPARATORY SCHOOL,M20 4BA,105598
PRESTWICH PREPARATORY SCHOOL,M25 1PZ,105997
BRIDGEWATER INDEPENDENT SCHOOL NURSERY,M28 2WQ,105992
CLARENDON COTTAGE SCHOOL,M30 9BJ,106001
BRANWOOD PREPARATORY SCHOOL,M30 9HN,105991
FOREST PARK PREPARATORY SCHOOL,M33 6NB,106382
ABBOTSFORD PREPARATORY SCHOOL,M41 5PR,106386
TALMUD TORAH CHINUCH NORIM SCHOOL,M7 2AU,105993
TALMUD TORAH YETEV LEV,M7 2BT,136117
BEIS MALKA BELZ GIRLS SCHOOL,M7 2BT,131435
KEREM SHLOIME,M7 2EY,140491
BEIS ROCHEL MCR GIRLS SCHOOL,M7 2FZ,147272
TIFERES,M7 2JR,136143
BEIS RUCHEL GIRLS SCHOOL,M7 4BE,130286
BNOS YISROEL IND SCHOOL,M7 4DA,105996
BNOS MARGULIS VIZNITZ GIRLS SCHOOL,M7 4DQ,147366
TASHBAR OF MANCHESTER,M7 4HL,106002
MANCHESTER JUNIOR GIRLS SCHOOL,M7 4JA,106003
OYY LUBAVITCH GIRLS SCHOOL,M7 4LH,106004
TORAS EMES,M7 4PH,136503
ST ANDREW'S PRE-SCHOOL,ME1 3BJ,118985
LORENDEN PREPARATORY SCHOOL,ME13 0EN,119014
ST HELENS MONTESSORI SCHOOL,ME15 0JT,131567
SUTTON VALENCE PREP SCHOOL,ME17 3RF,118958
GAD'S HILL SCHOOL,ME3 7PA,118944
BRYONY SCHOOL NURSERY CLASS,ME8 0AJ,118979
BROUGHTON MANOR PREPARATORY SCHOOL,MK10 9AA,136153
THE WEBBER INDEPENDENT SCHOOL,MK14 6DP,110567
GENEVIEVE EARLY YEARS,MK17 0HJ,110549
POLAM SCHOOL,MK40 2BU,109720
BEDFORD GREENACRE INDEPENDENT SCHOOL LIMITED,MK40 2DL,109717
LITTLE PILGRIMS,MK41 7QZ,109715
ORCHARD SCHOOL & NURSERY,MK45 4LT,133596
WALTON PRE PREPARATORY SCHOOL,MK7 6BB,110565
ROSEMARY WORKS SCHOOL,N1 5PH,132791
NORFOLK HOUSE SCHOOL,N10 2EG,102165
SALCOMBE PREPARATORY SCHOOL,N14 4AD,102063
VITA ET PAX PREPARATORY  SCHOOL,N14 4AT,102064
ISLAMIC SHAKSIYA FOUNDATION,N15 5RG,134084
SIDE BY SIDE,N16 0QJ,133439
BEIS YAAKOV GIRLS SCHOOL,N16 0QJ,136817
VISHNITZ GIRLS SCHOOL,N16 0QY,138516
YESODEY HATORAH BOYS SCHOOL,N16 5AE,100287
BNOIS JERUSALEM GIRLS SCHOOL,N16 5DL,100291
BEIS ROCHEL AMHURST BOYS NURSERY,N16 5DR,100293
TALMUD TORAH BEIS AHARON,N16 5ED,131170
YESODEY HATORAH GIRLS SCHOOL,N16 5LG,146748
THE TODDLE INN CRECHE,N16 5LG,146748
TYY SCHOOL,N16 5PZ,100299
BEIS ROCHEL AMHURST NURSERY,N16 6BB,100293
WIZNITZ CHEDER SCHOOL,N16 6QT,137809
BNOS ZION OF BOBOV,N16 6TJ,136015
BNEI ZION COMMUNITY SCHOOL,N16 6TJ,137318
EGERTON NURSERY,N16 6UE,100298
TTD GUR SCHOOL,N16 6UX,138101
BEIS MALKA NURSERY,N16 6XD,100295
ASSUNNAH PRIMARY SCHOOL,N17 6SB,135988
KEREM SCHOOL - EARLY YEARS UNIT,N2 0ER,101381
KEBLE PREPARATORY SCHOOL,N21 1BG,102060
GRANGE PARK PREPARATORY SCHOOL,N21 2EA,102062
FINCHLEY YOCHIEN,N3 1UE,131128
NORTH LONDON RUDOLF STEINER SCHOOL,N8 7PN,102169
NEWCASTLE HIGH SCHOOL FOR GIRLS,NE2 4PG,108538
DAME ALLAN'S JUNIOR SCHOOL AND NURSERY,NE2 4PG,108651
NEWCASTLE PREPARATORY SCHOOL & NURSERY,NE2 4RH,108540
NEWCASTLE SCHOOL FOR BOYS - NURSERY,NE3 4DT,108544
WESTFIELD SCHOOL,NE3 4HS,108542
MOWDEN HALL SCHOOL,NE43 7TP,122377
GATESHEAD JEWISH NURSERY SCHOOL,NE8 1RB,108419
TASHBAR,NE8 1RB,147313
THE GATESHEAD CHEDER,NE8 3HY,136000
SHOSHANIM,NE8 4DY,147700
THE ELMS NURSERY,NG10 4AD,113004
COLSTON BASSETT PREPARATORY SCHOOL,NG12 3FD,135366
PLUMTREE SCHOOL,NG12 5ND,122932
SALTERFORD HOUSE SCHOOL,NG14 6NZ,122938
A FOR E LIMITED T/A THE GRANTHAM PREP. SCHOOL,NG31 7UF,120738
DUDLEY HOUSE SCHOOL,NG31 9AA,120728
BEACHBOROUGH SCHOOL CHILDCARE,NN13 5LB,110550
NORWICH HIGH SCHOOL - POLLIWIGGLE NURSERY,NR2 2HU,121241
TOWN CLOSE PREP SCHOOL,NR2 2LR,121237
NOTRE DAME PREPARATORY SCHOOL,NR2 3TA,125447
GRESHAM'S NURSERY AND PRE-PREPARATORY SCHOOL,NR25 6BB,121222
THE OLD SCHOOL  HENSTEAD,NR34 7LG,124885
LANGLEY PREPARATORY SCHOOL,NR8 6HU,121225
BLOSSOM HOUSE SCHOOL,NW1 1PS,102694
THE CAVENDISH SCHOOL,NW1 7HB,100066
ST ANTHONY'S SCHOOL FOR GIRLS,NW11 7SX,143037
PENINIM,NW11 9TB,137502
NORTH BRIDGE HOUSE NURSERY AND PRE-PREP SCHOOLS,NW2 3TL,100068
NORTH BRIDGE HOUSE NURSERY AND PRE-PREP SCHOOLS,NW3 5JY,100068
DEVONSHIRE HOUSE PREPARATORY SCHOOL,NW3 6AE,100080
NANCY REUBEN PRIMARY SCHOOL,NW4 1DJ,133533
HENDON PREPARATORY AND PRE-SCHOOL,NW4 1TD,101368
TALMUD TORAH TIFERES SHLOMOH,NW4 2NB,131121
BARNET HILL ACADEMY,NW4 3ES,131261
MARIA MONTESSORI SCHOOL  ABBEY ROAD,NW6 4SN,131978
NAIMA JEWISH PREPARATORY SCHOOL,NW6 5ED,101176
ST JOHN'S WOOD PRE PREPARATORY SCHOOL,NW8 7NE,101174
BEIS SOROH SCHNEIRER,NW9 6AX,131026
BEECH HOUSE SCHOOL,OL11 4JQ,105855
FARROWDALE HOUSE SCHOOL (NURSERY CLASS),OL2 7AD,105747
OLDHAM HULME KINDERGARTEN (NURSERY),OL8 1RE,105745
THE CHADDERTON PREPARATORY GRAMMAR (NURSERY CLASS),OL9 0AD,105587
CHRIST CHURCH CATHEDRAL SCHOOL,OX1 1QW,123287
CHANDLINGS,OX1 5ND,131981
CRANFORD HOUSE SCHOOL TRUST LIMITED,OX10 9HT,123303
ABINGDON PREPARATORY SCHOOL,OX13 5NX,123312
THE MANOR PREPARATORY SCHOOL,OX13 6LN,123308
ORCHARD CLOSE - SIBFORD SCHOOL,OX15 5QL,123278
OXFORD MONTESSORI NURSERY,OX2 8BD,132048
THE KING'S SCHOOL,OX29 6TA,123315
RYE ST ANTONY,OX3 0BY,123295
FOREST FARM (OXFORD MONTESSORI NURSERY),OX3 9UW,132048
